"What kind of pet is this (Dog, Cat, Bird, Other)","Pet's Full Name (you don't have to include your last name. Think ""Winston Churchill"" and not ""Winston Churchill MYLASTNAME"")","Pet's everyday name (e.g. ""Church"")",Pet's age,Pet's breed (if applicable)
Cat,Ramona,Ramona,12,Unknown
Dog,Charles,Charlie,10,Corgi
Horse,Morning Glory,Glory,,Unknown
Dog,Willow,Willow,3,Sheepadoodle
Horse,Morning Mist,misty,,Unknown
Dog,Glamis Schedule K1,Kona,5,Golden Retriever
Dog,Bandit Raye,Bandi,12,Farm dog
Horse,Syndicated Copper,Copper,,Unknown
Cat,Cleo,Cleo,13,Domestic shorthair
Cat,Sebastian Ninja Nutjob,Sebastian,11,Domestic shorthair
Dog,Anderson,Andy,12,Labrador mix
Dog,Mars Harambe,Pickle,3,Catahoula mix (maybe? Don’t really know)
Roomba,"Butler, You Glorious Vacuuming Bastard",Butler,1,iRobot
Dog,Claudio Atlas Wolfric,Claudio,8,Dachshund
Rabbit,Flufy,Flufy,10,Lionhead
Dog,Lawson H Dog,Hogan,16,Briard
Cat,Smudge the Second,Deuce,4,Himalayan
Dog,Tucker,"Tucker, dude, bud",1,Bully mix
Cat,Echo,Echo,18,Unknown
Dog,Ames,Ames,5,Husky
Dog,Franc,Franc,0.3333336,Mastiff cross
Cat,Winnie,Winnie,0.3333336,Unknown
Cat,Tiggy,,0.3333336,Unknown
Dog,Oliver Jackson,Oliver/Baby/Little Man,5.5,Morkie
Dog,Dolly Doodle Dogger,Dolly,6,Labradoodle
Cat,Ann Perkins,Ann,0.5,Moggie
Dog,Cassie,Cassie,5,Mongrel
Cat,Kisa Marie,Kisa,6,Unknown
Dog,Logan,Logan brogran,2,Rhodesian Ridgeback
Dog,Basil,Basil,7,Lab/German Shepard mix
Dog,Marble,Marble,5,Plott/Coonhound mix
Dog,Hollie,Hollie,14,Westie
Dog,Cash Money,Cashie,2,Labrador Retriever
Dog,Seamus,Shamie Bameee,11,Rhodesian Ridgeback
Cat,William Robert,Billy,3,Unknown
Dog,Nash,Nash,2,Labrador Retriever
Cat,Spoons,Spoons,3,Calico
Cat,Arizona,Arizona,7,Domestic shorthair
Dog,Sian Ben Ryan,Sian or Sisi,14,Westie
Dog,Bear 2,Bear,7.5,Retriever Mix
Cat,Banjo,Banj,3,Domestic shorthair
Chinchilla,Fossedini Heraldo Macduff,Fosse,10,Unknown
Cat,Princess Melanie,Melanie,5,Domestic Longhair
Cat,Tiffany Marie,Tiffany,13,Domestic shorthair
Dog,Charles Barrath McIntyre,Barry,6,Basset Hound
Dog,Margeurite Larioux Gonzales,Maggie,6,Chihuahua-Lab
Dog,Rusty,Rusty,2,Fox red lab
Dog,Starfire,Star,15,Maltipoo
Dog,Nova,Nova,3-Feb,Mongrel
Dog,Dinty,The Dint,5,Terrier mix
Cat,Hamilton,Hammy Bits,3,Unknown
Dog,Kadie Jo,Kadie Jo,6,Labrador Retriever
Cat,Incandenza,Ink,3,Unknown
Cat,Fitzgerald,Fitz,8,Domestic shorthair
Cat,Zelda,Zelda,8,Domestic shorthair
Dog,Daisy Duke,Daisy,4,Siberian husky/Brittany spaniel cross
Guinea pig,Stewie,Stewie,2,Unknown
Dog,Sunny Sunday Sky,Sunny,15.5,Beagle
Guinea pig,Francisco,Cisco,2,Unknown
Horse,Dream On Chip,Diva,15,Appaloosa
Dog,Bailey,Bailey,3,Border collie mix
Horse,Tundra,Tundra,12,"Mixed breed (Appaloosa, paint, Tennessee walker)"
Dog,Bosco Spaghettio,Bosco,9,Border collie mix
Cat,Agnes Marie,Aggie turd,2,Unknown
Dog,Tansei,Duffus,7,Shiba Inu
Cat,Edith,Eduf Monster,1,Unknown
Cat,Mini,Mimi,13,Tuxedo cat
Cat,Theodore,Ted,4,persian
Dog,Molly,Molly,16,Golden Retriever
Dog,Duke Dukington,Duka,3,Chihuahua mix
Cat,Oliver Newton,Ollie,4,Maine Coon
Dog,Prince Phillip the 2nd,"Phillip, Daddy-o",12,West Highland White Terrier
Cat,Starla,Starla,4,Domestic shorthair
Dog,Petey,Petey poopoo head,11,West Highland White Terrier
Dog,President Nixon,Nixy,8,Mongrel
Dog,Daisy Doodle Fat Kid with Butt Spots,Daisy,4,Hound mix
Dog,Benry of Willowbrook,Benry,8,Golden Retriever
Dog,Qoda,Qoda,"2,5",Golden Retriever
Dog,Ziggy Starsog,Zig,1.5,Hound mix
Dog,Samuel Labrador,Sam,13,Labrador Retriever
Hamster,Princess Consuela Banana Hammock,Banana,Deceased ,Unknown
Dog,Bentley Boy,Bentley,13,Shi-tzu/Bichon
Dog,Taco Belle,Taco,So so ,Taco
Dog,Pluto,Pluto,Deceased,Golden Retriever
Hamster,Scooter Computer,Scooter,2,Unknown
Dog,Toby,Toby,6,beagle mix
Dog,Harlee,Harlee,3,Anatolian Shepherd
Dog,Nessa,Nessa,1,Golden Retriever
Dog,Biscuit Bandit,Bandit,3,Labrador Retriever
Cat,Sophie,Fuzzbutt,2,Unknown
Dog,The Real Slim Sadie,Sadie,1.5,Golden Retriever
Dog,Quincy Sugarplum,Quincy,3,Golden Retriever
Dog,Skipper Doo,Skip,4,Yorkie
Dog,Sam Ruffalo,Sam,6,Golden Lab
Dog,Brutus Buckeye,Brutus,11,Golden Retriever
Dog,crespo,crespo or baby 😂,12,shihtzu and mixed
Dog,Rossignol,Rozzie,Dead :(,Siberian Husky
Hamster,Peaches,Peaches,3,Unknown
Dog,Pepper,Pepper,4,Mongrel
Dog,Amaya,Maya,6,Siberian Husky
Cat,Eloise,Ellie,10,Unknown
Cat,Olive,Ollie,4,Unknown
Cat,Kiki Buntain,Kiki,18,Moggie
Dog,Tiger,Tiger,12,Unknown
Dog,Bonnie,Bonnie,8,Westie
Dog,Abby,Abby,11,Cavalier King Charles Spaniel
Gecko,Gomez,Gomie,10,High yellow leopard gecko
Dog,Cooper,Coop,7,Labrador Retriever
Dog,Chase,Chase,3,Husky mix
Hamster,Steve Hammond,Steve,0.3333336,Russian Campbell
Dog,Riley Jenkins,Riley,1.5000012,Golden Retriever
Dog,Montgomery T Dog,"Monty, monkey, monkeyrunk,",2,Dalmatian labrador Cross
Dog,Nana Roo,Nana,5,German Shepherd
Cat,Ella Grey,Ella,7,Unknown
Dog,Callie,Cal Gal (the golden),3,Golden Retriever
Dog,Rocco Norbert,Rocco,10,Golden Retriever / Chow
Dog,Jack,Jack,3,Terrier something or other
Dog,Ted,Ted,0.5000004,Welsh Terrier
Snake,Desiree,Desiree,11,Rosy boa
Dog,Jaida Lynn,Jaida,12,Black lab / terrier
Snake,Gaia,Gaia,10,Dumeril’s boa
Dog,Daisy Lulu,Daisy,9,Toy Poodle
Cat,Phillip,Phillip,16,Yellow buddy tabby?
Cat,Sunni,Sunni,10,Birman
Cat,Nymeria,Nym,5,Domestic medium hair
Cat,Scarlett,Scar,9,Unknown
Cat,Ink,Ink,0.5000004,Domestic medium hair
Cat,Drew,Drewbeans,7,Unknown
Dog,Titus,Titus,7,Labrador Retriever
Cat,Midna,Midna,8,Domestic shorthair
Dog,Cookie Asparagus,Cookie,11,Chihuahua Jack Russell Terrier
Dog,Tessa Leigh,Tessa,11,Labradoodle
Dog,Ali,Ali,5,Greyhound
Dog,Daisy,Daisy/Dandelion,4,Labrador mix
Dog,Lucky,Luck luck,5,Labrador Retriever
Cat,Rex,Rex,7,Maine Coon
Dog,Harper Jean,Harper Jean,1.5,German Shepherd mix
Cat,Maverick,Maverick,2,Unknown
Hermit Crab,Rork,Rork,2,Unknown
Cat,Tina Fay,Tina,6,Unknown
Cat,Sophie,Sophie,4,Domestic shorthair
Dog,Max-well,Max,6,Golden Retriever
Dog,Mica,Mica,6,Labrador mix
Cat,Patches,Patches,10,Tuxedo cat
Cat,Ash,Asch,4,Domestic shorthair
Other,Yuri,Yuri,1,Rat
Other,Ravio,Ravio,1,Rat
Dog,Sylvester Balboa,Sly,6,Golden Retriever
Dog,Mia Roo,Mia,11,Australian Shepherd
Other,Melody,Melody,1,Winter white
Dog,Casper Tiberus,Casp,4,Mongrel
Dog,Chummy,Chumbles,5,Labradoodle
Dog,Luna Bean,Luna,7,Italian greyhound x chihuahua
Other,Brown Gerbil,Brown Gerb,2,Gerbil
Cat,Gabby Comacho,Cho Cho,16,Domestic shorthair
Other,White Gerbil,White Gerb,2,Gerbil
Dog,Sofie Tooter Scooter,Sophie,7,Chihuahua
Dog,Mojo,Mojo,5,Labradoodle
Dog,Grace,Grace,1,Mongrel
Cat,Misha,Misha,8,Tabby
Dog,Frankie,Frankie,1,Mongrel
Other,Dollar dollar bills y'all,Bill,2,Guinea Pig
Dog,Osa,Osa,9,Akita husky mix
Dog,Dixie,Dixie,13,Pit bull mix
Cat,Barnabas,Bucky,0.9166674,Moggie
Dog,Nina,Nina,7,West Highland White Terrier
Cat,Bitsy,Bitsy,15,Domestic shorthair
Dog,Rachel,Rachel,8,Schnauzer
Dog,Piper,Piper,9,Labrador Retriever
Dog,Bella,Belly,10,Yorkie
Dog,Queen Khaleesi,Queenie,12,Mountain Dog mix
Cat,Pumpkin,Pumpkin,6,Unknown
Dog,Bridget,"Bridgy, Pookie bridge",15,Mongrel
Dog,Bodacious,Bodie,14,Black Labrador Retriever
Dog,Mama Rose,Rosie,7,Pit bull
Dog,Augustus,Gus,0.6666672,Golden Retriever
Cat,Sunshine,Sunshine,7,Tiger stripe (orange)
Dog,Tater,Tater,0.2500002,Labrador & great pieraneese
Cat,Millicent,Millie,6,Unknown
Hedgehog,Gustavus Ericius Hedgehog of the North,Gus,1.5,Unknown
Dog,Beverly Ann,Beverlana,13,Golden Retriever
Dog,Cora Smalls,Cora,3,Havanese
Dog,Jasper,Jasper,16,dalmation/beagle
Cat,Dust,Dust,1,Unknown
Dog,Caleb,caliber,1.5,Blue Tick Coon Hound
Dog,Tonka,"Tonks, Tonkers, Sir Tail",8,Newfoundland
Bird,Spike,Spiker-doodle,13,Cockatiel
Cat,Ash,Ashy boy,9,Unknown
Cat,Blossom,Moose,6,British long hair
Cat,Violet,Violet,14,Shorthair cat
Cat,Thor,Thor,4,Unknown
Dog,Hank,Baby,2,Boxer
Dog,Brandy,Puddin,5,Lab/pitbull mix
Cat,Lily,Lillibutt,11,Shorthair cat
Dog,Sir Squeaksalot the Second,Twoie,9,Chinese Crested Powder Ouff
Cat,Buddy,Buddy Boi,4,Shorthair cat
Dog,Colby Jack,Jack,5,German Shepherd
Dog,Cooper,Coop,0.11,Labradoodle
Dog,Murphy,Murph,1,Goldendoodle
Dog,Phineas,,7,irish soft-coated wheaten terrier
Dog,Peach,Peach,2,Mongrel
Dog,moose alexander,Moose,0.6666672,Maltipoo
Cat,eliza goose,eliza,2,Grey domestic short hair
Guinea pig,Nibbles,Nibsey,5,Shorthair
Cat,Chichi,Chichi,9,Tabby
Cat,Isabella,Izzy,4,Unknown
Dog,Ruby,Ruebs,6,Rhodesian Ridgeback
Dog,Ruby,Ruby,4,Labrador Retriever
Dog,Min Ottende Bold,Otte,9,Black Labrador
Dog,Min fine Nimina Beana,Mina,6,Yellow Labrador
Dog,Lucy,Lu,3,Great Pyrenees
Cat,Belvedere,Biff,16,shorthair mackerel tabby
Cat,heaven,Kitty,8,Tortoise shell
Dog,Lucy Lou,luey,4,Basset Hound
Dog,Katniss Underfoot,Katniss,9,Pit bull
Dog,Sadie,Sayd,13,Border Collie
Dog,Coco  Chanel mademoiselle,Coco,5,Golden Retriever
Dog,Maggie,Mags,8,Border Collie
Dog,Gunner baker,Gunner,12,Labrador Retriever
Rabbit,Lady Sybil,Lady,1.75,Holland Lop
Cat,Ashley Williams,Ash,8,Maine Coon
Dog,April in Paris,Paris,6,Golden Retriever
Rabbit,Colby,,3,Unknown
Cat,Mister,Mister,2,American shorthair
Cat,Goku,Tutu,2,Unknown
Other,Miles,Miles,5,Goldfish
Cat,Fuzzball,Fuzzybutt,10,American shorthair
Dog,Felix,Felix,2,Unknown
Cat,Benjamin,Ben,14,Unknown
Dog,Woodruff,Woody,10,Saint Bernard/Cocker Spaniel
Cat,Tibby,Tib or Monster,3,Unknown
Dog,Kitty take your gloves off,Reba,8,Golden Retriever
Cat,Honey,Honey,7,Tabby
Dog,Mulligan,Mull,12,Golden Retriever
Dog,Loki,Loki aka goof ball,0.6666672,Golden Retriever
Dog,Okemo,Okemo,8,Australian Cattle Dog
Dog,Beau,Beau,1.5,Golden retriever mix
Cat,Lucy,Lucy,6,Unknown
Dog,Zack attack,Zack,10,Golden Retriever
Dog,Kendall,Kendall,4,Hound lab mix
Dog,Bailey,Bailey,1,Lab/pointer
Dog,Ranger,Ranger,11,German Shepherd/Husky
Dog,Dan,Dan,12,Basenji Mix
Dog,Sir Maximillion of Binghamton,Max,10,Golden Retriever
Dog,Freya,Freya,3,Pointer/sharpei
Dog,Jackson,Jax,14,Golden retriever mix
Dog,Kurama,Kdog,3,Unknown
Dog,Luchik,Luchik or Luci,5,White German Shepherd-Husky
Dog,Pippi Hyde,Pippi,11,Cocker Spaniel
Cat,Scarlett,Purrincess Kitty,13,Domestic shorthair
Dog,Pearly,Pearl,5.5,Husky mix
Cat,Sebastian,Monkey,12,Domestic shorthair
Dog,Walter,Walty,6,Spaniel Mix
Cat,Reeses Pieces,Reesie,2,Domestic shorthair
Dog,Buddy of Bailey's Irish Cream,Buddy,11,Black Lab
Dog,Belle,Belle,15,Golden Retriever
Cat,Sushi Roll,Sushi,1.5,American Bobtail
Dog,Zoe Marie,Zoe,6,German Shepherd mix
Dog,Wilson,Wilson,4,Labrador mix
Cat,Mochi,Mochi,1.5,American Bobtail
Dog,Reesie,Reesie,14,Yorkshire Terrier
Cat,Sasuke,Sasuke,6,Moggie
Cat,Sasuke,Sasuke,6,Moggie
Dog,Bocephus Ray,Bo,6,German Shepherd mix
Dog,Gunner,Gunny,5,Yellow lab
Dog,Stella,Stella,12,Daschund mix
Dog,Bailey's Irish Cream,Bailey,13,Black Golden Retriever (GR/choc lab)
Cat,Abigail,Abby,8,Siamese
Dog,Poppy,Pops,16,Jack Russell
Dog,Nina,Beans,12.5,Flat Coated Retriever
Cat,Boris,Boris,3,Spinx
Cat,Smoochey,Moo moo cow/ moochey,18,Domestic shorthair
Cat,Toast Malone,Toast,5,Unknown
Cat,Hex,Hex,8,Unknown
Cat,Smudge of Grey,Smudge,7,Unknown
Dog,Charlotte,Char,4,Beagle/Jack Russel
Dog,Ms. Cuddles,Cuddles,13.75,Chiffon (Shih Tzu/Brussels Griffon)
Dog,Wayne Rooney,Roo,13,Border Collie
Dog,Snack,Snack,2,Rottweiler/cocker spaniel mix
Cat,Skipper,Skips,16,Unknown
Cat,Nacho Bell Grande,"Bean, nacho,",1,Unknown
Dog,Hazel,"Zelly, ZZ, Hayzelly",3,Golden Retriever
Dog,Luna Calamity Barnes,Luna,9,Mongrel
Dog,Hiro Barnes,Hiro,5,Mongrel
Dog,Ramsey,Ramsey,0.3333336,Labrador Retriever
Dog,Stella Diane,Stella,6,Havanese type mix
Dog,Trigger,Trig,4,Labrador Retriever
Cat,Noodle,Noodle,3,Calico/domestic shorthair
Dog,Héloïse,Héloïse,11,Papillon mix
Dog,Scout McGee,Scout,12,Spitz
Dog,Milo,Milo,2,Golden Retriever
Dog,Colby,Kolbie,10,Beagle
Dog,Rhyannon's Princess Nikita,Nikki,10.5,Siberian Husky
Cat,Scram,Scrammies,2,Domestic medium hair
Cat,Darwin,Cat,7,Unknown
Cat,Leo,Leo,16,Unknown
Cat,Kanga,Kanga,4,Calico/Tabby
Rabbit,Winona,Winnie,2,Unknown
Cat,Bugaloo Bonzai,Bug,7,Unknown
Dog,Malcolm P. Dog,Malcolm,17,Mongrel
Dog,Maxwell T. Bone,Max (Alias: BrownDog),11,Chocolate lab
Cat,Patches,Patch,8,Unknown
Dog,Indy,Indy,8,Poodle/beagle
Dog,Cody Fluffball,Cody,11,Golden Retriever
Dog,Fudge,Fudgie,6,Pug/beagle mix
Dog,Mia,Mia,13,Golden Retriever
Cat,Louie,Louie,4,Unknown
Cat,Mitzi Junebug Kandinsky,Mitzi,8,Unknown
Dog,Megan Gabriela Ortega,Moo,11,Boxer
Cat,Bernie,Bernie (Bernard if naughty),2,Domestic Longhair
Dog,Bel,Bel,7,Cocker Spaniel
Dog,Artie,Artie Party,14,Golden Retriever
Dog,Snickers,Snickers,9,beagle/german shepherd mix
Cat,Hazel,Hazel,4,Domestic shorthair
Dog,Blue,Blue,7,Blue heeler mix
Dog,Wally,WaWa,2,Golden retriever mix
Dog,Copper,Copper,10,Chihuahua mix
Cat,Harold,Harry,0.1150686,Cat
Lizard,Birdie,Baby liz,7,Unknown
Cat,Sir Jonathan Pooh Cat,Jonathan,10,persian
Dog,Juliet,Jules,2,Pit bull
Cat,Scout,Scout,9,Tabby
Dog,Dasher,Dash,8,Spanador
Dog,Grace,Gracy,5,Labrador Retriever
Dog,Ruby,Ruby,12,Mongrel
Bird,Nugget,Nugget,2,Ringneck Dove
Dog,Levi,Lee,6,Australian Shepherd
Dog,Elle Loki Bean,Bellie,1,Boxer mix
Dog,Dorthea Dix,Doge,5,Golden Retriever
Dog,Layla Bo Peep,Layla,0.3333336,Puggle
Dog,Rocky,Rocky,12,Beagle mutt
Dog,Tillith,Tilly/TillBear,8,Hound mix
Dog,Rollo,Rollo,3.5,Yellow lab
Dog,Nisku,Nisku,2,German Shepherd mix
Cat,Cat,Cat,8,Domestic Longhair
Cat,Peaches,Peaches,5,persian
Dog,Sadie Jo,Sadie or Tato,5,Yellow Labrador Retriever
Dog,Lady,Lady,9,Bernese Mountain Dog
Dog,Sammy Q,Sam,10,Golden retriever mix
Cat,Cookie,Cookaroo,9,Siamese Mix
Cat,Pepper,Bebs,4,Tabby Mix
Cat,ipod,ipod,12,Unknown
Cat,hank the cowcat,Hank,12,Unknown
Dog,Oliver Phish,Oliver,2,Pit bull mix
Dog,Cleopatra,Cleo,6,Italian mastiff
Dog,Birdie,Birdir,1,Labradoodle
Dog,Murphy,Murph,0.5833338,Golden Retriever
Dog,Ryder,Ryder,14,Yellow lab mix
Dog,Talani Snowmageddon,Milo,0.3750003,Golden Retriever
Dog,Winnie the Blue,Winnie,0.9166674,Pit bull
Dog,Scarlett,Scarlett,0.2500002,Cavalier King Charles Spaniel
Dog,Gus,Gus,11,Golden Retriever
Dog,Dixie Marie,Dixie,8,St. Bernard
Dog,Heidi,Heidi,2,St. Bernard
Dog,Phin,Phin,2,St. Bernard
Dog,Jager,Jager,12,Labrador Retriever
Dog,Brown Bear,Bear,7,Unknown
Dog,Lucy,Lucy,4,Golden Retriever
Dog,Kahlua,Chicky-chix,0.833334,Mongrel
Cat,Epinephrine,Epi,9,Moggie
Dog,Bailey,Stinky,1,Silver lab
Dog,Bailey,Stinky,1,Silver lab
Cat,That Cat,T.C.,9,Moggie
Dog,Rocky,Rocky,5,Pit bull/lab mix
Bird,Buddy Ryan,Buddy,12,Unknown
Dog,Abigail,Abby,4,Pit bull
Dog,Kira,Kira/Squishy,15,Beagle
Dog,Sammy,Sam sam,6,Golden Lab
Dog,Piper Marie,Piper,4,Newfoundland mix
Dog,Charlene,Charlie,12,Labrador mix
Dog,Thor Mighty God of Thunder,Thor,9,Daschund mix
Dog,Cody Anne,Cody,2,Golden Retriever
Cat,Caesar,Jeff-jeff,9,Unknown
Dog,Tessa,Tessa,11,German Shepherd
Cat,Theia,"Kitty, booger butt, fluffybutt",11,Domestic Longhair
Cat,Minerva Mcgonagall,Minna,5,Tabby
Dog,Lily,Lily,10,Shepherd chow mix
Dog,Butters,Butters,9,Shepherd mix
Dog,Marigold,Marigold,8,Heinz 57
Dog,Prince Romeo,Romey,8,Miniature Pinscher
Cat,Teacher’s Pet,Teeps,2,Unknown
Cat,Wimpy,Wimpy,2,Unknown
Cat,Lucy,Lucy,2,Unknown
Dog,"Snickers the First, Head Woofer",Snickers,6,YorkiePoo
Dog,Lucky,Lucky,3,Lab/blue heeler/mixed breed
Dog,Ares,Ares,8,Olde English Bulldog
Cat,Skylar,"Sweet boii, my beautiful baby boy",3,Unknown
Dog,Maximillian,Max,13,Golden Retriever
Dog,Rogue,Rogue,6,Border collie/weimerheimer/mixed breed
Cat,Sweety,Sweety,Unknown ,Domestic Longhair
Cat,Benny,Ben,4,Domestic shorthair
Dog,Ace,,1,American Hairless Terrier
Dog,Ava,,4,American Hairless Terrier
Dog,Winnifred,Winnie,6,Shih-Tzu Poodle Mix
Dog,Mika,Mika,8,Pit bull/lab mix
Dog,Charlie Elizabeth Begonias,Charlie,5,Labradoodle
Dog,Jack Ass,"Jack, Jackie",5,Border Collie Australian shepherd mix
Cat,Bean,Cat,7,Unknown
Cat,Skipps,Skipper,1,Unknown
Cat,Carly Q Cat,Carl,5,Unknown
Dog,Dan,Digger,13,Pug
Dog,Coco,Koko,4,French Bulldog
Dog,Archibald,Archie,2,Golden Retriever
Dog,Sassie,Sassie,19,Poodle
Dog,Zoe,Zoe,12,Shih tzu/ poodle
Dog,Bo Bo,Bobes,10,Mongrel
Cat,Sophie,Sofi May Bofi,2,Calico
Dog,Isiah Thomas,Izzy,0.2500002,Maine Coon
Dog,Sir Pete the Pup,Pete,12,Chihuahua
Dog,Roux Stir,Roux,8,Catahoula mix
Dog,Lucy Scramble,Lucy,5,Boxer
Dog,June Bug,June Bug,10,Shepherd mix
Dog,Crinkle,Crink-a-dink,7,Rhodesian Ridgeback
Other,George,George,Unknown,Metamorphic
Dog,Smokey,Spooky,14,Mongrel
Dog,Daisy Mae,Daisy,3,Labrador mix
Dog,Crimson,Crimson,9,Beagle & Lab/German Shepherd mix
Dog,Tide,Tide Dog,9,Beagle & Lab/German Shepherd mix
Card Board Poster ,Kendall Jenner,Ken,23,Human
Dog,Sophie,Sophie,10,Lab & Jack Russell Mix
Dog,Sir Nigel Petrie of the Poofybottom Clan,Nigel,12,Pomeranian/terrier mix
Dog,Toby,"Bobo, Tib Tob, Tibbi Bibbi, Corn Chip",10,Newfoundland/St. Bernard
Dog,Bruin,Bru,7,Golden Retriever
Dog,Lucinda Jean,Lucy,1,Golden Retriever
Dog,Dave,Dave,4.5,Golden Retriever
Dog,Harper Valley,Harper,0.2500002,Dachshund
Cat,calleigh Marie,Calleigh,14,Domestic shorthair
Dog,Buster Brown,Buster,11,Mongrel
Fish,Øptifish,Øptifish,0.0383562,Goldfish
Dog,Leila,Leila!!,5,English Pointer
Dog,Trixie,Trixie Treat,3,Golden Retriever
Dog,Archer,Archibald,9,Labrador mix
Dog,Josie Pancakes Fluffybottom,Josie,8,Heinz 57
Cat,Tiger Jack,Jack,6.75,Tabby
Cat,William Orange,Willie,6.75,Tabby
Dog,Zeus,Zu,1.5,Great Dane
Dog,Shooter,Shooter,8,Blue Heeler
Dog,Ellie,Ellie,8,Yellow lab
Dog,Macie,Mace,8,Golden Retriever
Dog,Maddie,Bubbis,17,Shih Tzu
Cat,Motown,Mo,8,Domestic Longhair
Fish,Spot,Spot,0.5000004,Betta fish
Dog,Squirt,Squirt,7,Bulldog
Dog,Samantha Marie,Sammy,8,Mongrel
Dog,Quincy,Quincy,5,Chow mix
Dog,Cajun,Cajun,6.5,Golden Lab
Dog,Duke,Dukie Doo,3,Pit bull
Dog,Daisy,Daisy Dee,3,Pit bull
Dog,Nico,Nico,4,Pug/Boston Terrier Mix
Dog,Chance McCoy,Chance,10,Golden Retriever
Dog,Kobi,Kobi,11,Pit bull mix
Dog,Maila,Maila Moose,1,South African Mastiff
Horse,Domino,Dommi,6,Paint
Dog,Phineas,Phin,3,Labrador Retriever
Dog,Cody,Vody,20,Labrador Retriever
Dog,Perry,Perry,3,Labrador Retriever
Chicken,Gregory Peck,Greggie,2,Bantam Cochin
Dog,Call it a night Sir Dudley,Dudley,5,Golden Retriever
Dog,Madison Brooke,Maddy,7,Foxhound Mix
Cat,Pandors,Pandora,10,Unknown
Dog,Like Francis,Luke,8,Treeing Walker Coonhound Mix
Cat,Bo Bo,Bo Bo,4,Unknown
Cat,Zooey,Zooey,8,Unknown
Cat,Mollie,Molly,2,Evil
Cat,JJ,JJ,0.5000004,Unknown
Cat,Jenson Button. (Last name pronounced Boo Tawn),"Boo Bear, JB, or Button (Pronounced Boo Tawn)",8,Moggie
Dog,Pilikia,Pili,14,Chihuahua
Dog,Mia Pieper,Mia,3,Black lab/ greyhound mix
Cat,Nova Blake,Nova,1,Tabby
Dog,Pepper Potts,Pepper,6,Golden Retriever
Dog,Scruffy,Scruffy,Dead,Mongrel
Cat,Nikolai Maranov,Mr. M,12,Maine Coon
Cat,Django,Django,16,Tuxedo cat
Dog,Princess Jessi,Jessi,7,Unknown
Dog,Mowgli,,1,Labrador Retriever
Dog,,,2,Labrador Retriever
Dog,Wille,Willie,8,Unknown
Dog,Otto,Otto,1.5,Doberman/Basset Hound
Cat,Momma Martha,Martha,5,Domestic shorthair
Dog,Optimus,Opti,7,Maltese
Dog,Memphis Mumford,Memphis,2,Cane Corso Mastiff
Cat,Antoine,Toine,8,Tabby
Dog,Louie,Louie,6,Lab/bloodhound mix
Cat,Hunter Pounce,Caracat,8,Shorthair cat
Dog,Anna,Anna,5,Unknown
Dog,Chester,Chester,13,Nova Scotia Duck Toller
Dog,Zeus Theodore,Zeus,7,Schnoodle
Dog,Ripley,Ripley,13,Golden Retriever
Dog,Beau,Beau Beau,4,Goldendoodle
Dog,Lucy,Lucy,9,Golden Retriever
Dog,Penelope,Penny,3,Maltese
Dog,Callie,Cal,4,Golden Retriever
Dog,Jake,Jakey poo poo head,2,Goldendoodle
Dog,Willie,Willie,2.5,Labrador mix
Dog,package,package,1,Dalmatian mix
Cat,Algernon,"Algy, Gu",11,Unknown
Cat,Pickles!,Pickles or Pumpkin or Cutie Pie or Little Darlin,3,Tortie
Cat,jiblit,tiny jib,1,Unknown
Dog,Luna,Luna,5,Yorkie
Dog,Delilah,Lila,4,Labrador Retriever
Cat,Celie,Celie,7,Tabby
Cat,Sophie,Sophie,7,Tabby
Cat,Oliver Wendell Holmes,Oliver,9,Unknown
Dog,Josephine,Josie,4,Border Collie/Pit Mix
Dog,Russell D.,Rusty,9,Mongrel
Dog,Excalibur Insubordinate O’Mallie IX,Cali,2,Golden Retriever
Dog,Darth Vada Mae,Vada,7,Border collie/corgi
Cat,Felix,Felix,12,Domestic shorthair
Dog,Butterscotch,Butters,10,Mongrel
Dog,Emma Jean Jelly Bean,Emma,13,Shih Tzu
Cat,Binky,Binky,2,Domestic shorthair
Cat,Sox,Sox,10,Domestic shorthair
Dog,Rigby,Rigs,6,Boston terrier
Dog,Sir Scribbles Of the Shire,Scribbles,5,Shih tzu/corgi
Cat,Herbert Fitzgerald,Bertie,3,Ragdoll
Cat,Gary,Gary,3,Tabby
Cat,Cassandra,Cassie,7,Siamese Mix
Cat,Moose,Moose,0.1666668,Calico
Dog,Tele,Tele,11,Labrador Retriever
Dog,Maggie,Pooper,14,Dachshund
Cat,Daniel,Daniel,16,Oriental Shorthair
Cat,Kitty,Kitty,16,Domestic shorthair
Dog,Daisy Mae,Daisy,11,Golden Retriever
Dog,Bug,Bug,6,Jack russel mutt
Dog,Raven,Ray,6,German Shepherd
Dog,puppy girl,Puppy,4,Jack Russell
Dog,beyoncé,beyoncé,2,Chihuahua
Dog,Pippa Mad,Pippa,2,Havanese
Dog,Tails Balboa,Tails,14,Chihuahua
Dog,Tara Balboa,Tara,6,Chihuahua
Dog,Mia,Mimi,1,Chihuahua
Dog,Slainte,Slainte,12,Chiweenie
Cat,Persephone,Persnuffy,11,Unknown
Cat,Piper,Pipes,1,Unknown
Cat,Belle,Tiny Kitten,12,Unknown
Cat,Nyx,Nyxapooski,8,Unknown
Dog,Clyde Frog the Dog,Clyde,3.75,Yellow Labrador
Cat,Baby Tiger,Tiger bub,11,Unknown
